A0AQW4	TCP12_ARATH	AT1G68800
A8MS51	A8MS51_ARATH	AT4G36980
A8MS55	A8MS55_ARATH	AT1G27970
A8MS57	A8MS57_ARATH	AT3G54320
A8MS62	A8MS62_ARATH	AT5G51170
A8MS65	A8MS65_ARATH	AT4G17730
A8MS68	PLPD1_ARATH	AT3G16950
A8MS70	A8MS70_ARATH	AT3G17609
A8MS71	A8MS71_ARATH	AT2G01350
A8MS75	A8MS75_ARATH	AT3G54890
A8MS82	A8MS82_ARATH	AT2G47160
A8MS83	A8MS83_ARATH	AT3G55280
A8MS84	A8MS84_ARATH	AT4G21980
A8MS85	A8MS85_ARATH	AT1G65440
A8MSA9	A8MSA9_ARATH	AT1G48900
A8MSB1	A8MSB1_ARATH	AT5G05410
A8MSB4	A8MSB4_ARATH	AT5G42420
A8MSB8	A8MSB8_ARATH	AT1G06515
A8MSB9	A8MSB9_ARATH	AT4G13850
A8MSC3	A8MSC3_ARATH	AT2G32460
A8MSC5	A8MSC5_ARATH	AT2G47470
A8MSC6	A8MSC6_ARATH	AT3G60130
A8MSD0	A8MSD0_ARATH	AT4G38130
A8MSE3	A8MSE3_ARATH	AT2G39805
A8MSE4	A8MSE4_ARATH	AT3G47836
A8MSE8	A8MSE8_ARATH	AT5G60390
A8MSF1	A8MSF1_ARATH	AT5G65720
A8MSF2	A8MSF2_ARATH	AT5G17170
A8MSF6	A8MSF6_ARATH	AT1G01620
A8MSF9	A8MSF9_ARATH	AT4G28250
A8R7E6	CERK1_ARATH	AT3G21630
A9LLI7	RP6L2_ARATH	AT5G35910
A9LNK9	CPSF_ARATH	AT1G30460
A9QM73	SMG7_ARATH	AT5G19400
A9X4U2	HSDD3_ARATH	AT2G43420
B0F9L4	GOGC6_ARATH	AT3G27530
B0FV08	B0FV08_ARATH	AT1G04240
B1GV15	B1GV15_ARATH	AT5G42800
B1GV49	B1GV49_ARATH	AT2G30490
B1GV57	B1GV57_ARATH	AT5G08640
B1GXJ7	B1GXJ7_ARATH	AT1G08920
B1PXB9	B1PXB9_ARATH	AT5G63110
B2BDI6	B2BDI6_ARATH	AT1G64280
B2BDM5	B2BDM5_ARATH	AT5G13160
B2BDR5	B2BDR5_ARATH	AT5G06950
B2BIZ3	B2BIZ3_ARATH	AT4G25480
B2BJ26	B2BJ26_ARATH	AT5G51990
B2GVM9	B2GVM9_ARATH	AT5G23260
B3DNN3	B3DNN3_ARATH	AT5G56970
B3DNN5	CDC16_ARATH	AT1G78770
B3DNP2	B3DNP2_ARATH	AT2G38470
B3DNP3	B3DNP3_ARATH	AT3G27180
B3H429	B3H429_ARATH	AT4G01150
B3H455	B3H455_ARATH	AT1G13195
B3H466	B3H466_ARATH	AT1G29170
B3H467	B3H467_ARATH	AT4G14305
B3H468	B3H468_ARATH	AT2G04900
B3H477	B3H477_ARATH	AT5G50950
B3H480	B3H480_ARATH	AT5G65090
B3H4A7	B3H4A7_ARATH	AT1G36180
B3H4B6	B3H4B6_ARATH	AT4G39200
B3H4B8	B3H4B8_ARATH	AT3G14420
B3H4C4	B3H4C4_ARATH	AT1G55160
B3H4E5	B3H4E5_ARATH	AT1G10650
B3H4F3	B3H4F3_ARATH	AT1G70830
B3H4F6	B3H4F6_ARATH	AT2G43680
B3H4G3	B3H4G3_ARATH	AT1G48500
B3H4G4	B3H4G4_ARATH	AT5G08185
B3H4G8	B3H4G8_ARATH	AT1G52150
B3H4H0	B3H4H0_ARATH	AT1G55205
B3H4J9	B3H4J9_ARATH	AT1G07780
B3H4K4	B3H4K4_ARATH	AT5G59950
B3H4K8	B3H4K8_ARATH	AT5G26570
B3H4L8	B3H4L8_ARATH	AT3G21175
B3H4M0	B3H4M0_ARATH	AT3G15840
B3H4N3	B3H4N3_ARATH	AT4G32530
B3H4P1	PP450_ARATH	AT5G66631
B3H4P8	B3H4P8_ARATH	AT3G60250
B3H4R6	B3H4R6_ARATH	AT4G11890
B3H4S6	B3H4S6_ARATH	AT5G12860
B3H4T8	B3H4T8_ARATH	AT4G12020
B3H4X1	B3H4X1_ARATH	AT3G52120
B3H4X4	B3H4X4_ARATH	AT2G28800
B3H4X8	TCL2_ARATH	AT2G30424
B3H4Y3	B3H4Y3_ARATH	AT1G67540
B3H4Y9	B3H4Y9_ARATH	AT1G22840
B3H4Z5	B3H4Z5_ARATH	AT5G49010
B3H501	B3H501_ARATH	AT5G23450
B3H507	B3H507_ARATH	AT5G27090
B3H533	B3H533_ARATH	AT1G45000
B3H541	B3H541_ARATH	AT4G22130
B3H560	B3H560_ARATH	AT5G09660
B3H575	B3H575_ARATH	AT3G15095
B3H584	B3H584_ARATH	AT1G62880
B3H5A6	B3H5A6_ARATH	AT3G17205
B3H5A8	RVE7_ARATH	AT1G18330
B3H5B7	B3H5B7_ARATH	AT1G49870
B3H5D9	B3H5D9_ARATH	AT1G69530
B3H5E3	B3H5E3_ARATH	AT3G55610
B3H5F6	B3H5F6_ARATH	AT5G58720
B3H5I5	B3H5I5_ARATH	AT5G57860
B3H5J6	B3H5J6_ARATH	AT5G24780
B3H5K3	B3H5K3_ARATH	AT5G47690
B3H5K8	B3H5K8_ARATH	AT1G72360
B3H5P6	B3H5P6_ARATH	AT2G26150
B3H5Q0	B3H5Q0_ARATH	AT5G39190
B3H5R1	B3H5R1_ARATH	AT5G48240
B3H5S2	B3H5S2_ARATH	AT5G38410
B3H5S5	B3H5S5_ARATH	AT1G01910
B3H5T3	B3H5T3_ARATH	AT1G80210
B3H5T8	B3H5T8_ARATH	AT2G01070
B3H5U9	B3H5U9_ARATH	AT1G30475
B3H5V3	B3H5V3_ARATH	AT2G46225
B3H5V4	B3H5V4_ARATH	AT1G51710
B3H5W3	B3H5W3_ARATH	AT5G22280
B3H5W7	B3H5W7_ARATH	AT5G06750
B3H5Y0	B3H5Y0_ARATH	AT4G35830
B3H5Y8	B3H5Y8_ARATH	AT4G33010
B3H5Z4	B3H5Z4_ARATH	AT2G34840
B3H609	B3H609_ARATH	AT5G03540
B3H615	ING2_ARATH	AT1G54390
B3H630	B3H630_ARATH	AT1G48500
B3H631	B3H631_ARATH	AT5G14320
B3H636	B3H636_ARATH	AT2G33480
B3H651	B3H651_ARATH	AT3G04030
B3H653	B3H653_ARATH	AT1G28280
B3H660	B3H660_ARATH	AT1G71020
B3H684	B3H684_ARATH	AT4G26110
B3H688	B3H688_ARATH	AT5G09250
B3H6B0	B3H6B0_ARATH	AT5G09900
B3H6B8	B3H6B8_ARATH	AT3G26720
B3H6C6	B3H6C6_ARATH	AT2G38860
B3H6D7	B3H6D7_ARATH	AT2G36460
B3H6E4	B3H6E4_ARATH	AT4G14710
B3H6F9	B3H6F9_ARATH	AT4G33950
B3H6I3	B3H6I3_ARATH	AT2G05510
B3H6I9	B3H6I9_ARATH	AT4G05420
B3H6K1	Y4791_ARATH	AT4G17910
B3H6K6	B3H6K6_ARATH	AT4G33360
B3H6L4	B3H6L4_ARATH	AT1G27752
B3H6L8	B3H6L8_ARATH	AT2G30990
B3H6L9	B3H6L9_ARATH	AT5G18410
B3H6R0	B3H6R0_ARATH	AT1G11310
B3H6T0	B3H6T0_ARATH	AT2G32160
B3H6T6	B3H6T6_ARATH	AT2G31280
B3H6U1	B3H6U1_ARATH	AT5G32440
B3H6U2	B3H6U2_ARATH	AT3G04910
B3H6W6	B3H6W6_ARATH	AT2G30480
B3H6X4	B3H6X4_ARATH	AT1G29200
B3H6Z4	B3H6Z4_ARATH	AT1G18730
B3H700	B3H700_ARATH	AT4G38600
B3H725	B3H725_ARATH	AT5G60600
B3H726	B3H726_ARATH	AT2G05510
B3H739	B3H739_ARATH	AT1G18270
B3H746	B3H746_ARATH	AT3G25230
B3H757	B3H757_ARATH	AT4G29810
B3H763	B3H763_ARATH	AT4G24960
B3H778	B3H778_ARATH	AT4G24830
B3H786	B3H786_ARATH	AT1G20100
B3H7B3	B3H7B3_ARATH	AT1G29630
B3H7B5	B3H7B5_ARATH	AT4G13020
B3H7D4	B3H7D4_ARATH	AT4G35110
B3H7F2	B3H7F2_ARATH	AT1G53790
B3H7F6	B3H7F6_ARATH	AT3G22380
B3H7G1	B3H7G1_ARATH	AT3G10020
B3H7H1	B3H7H1_ARATH	AT3G07300
B3H7J6	B3H7J6_ARATH	AT5G15200
B3H7K1	B3H7K1_ARATH	AT5G58720
B3H7K2	B3H7K2_ARATH	AT3G27100
B3H7L7	B3H7L7_ARATH	AT1G29170
B3H7L8	B3H7L8_ARATH	AT4G33000
B3H7M2	B3H7M2_ARATH	AT2G21230
B3H7M6	B3H7M6_ARATH	AT1G10060
B3LF48	EHD2_ARATH	AT4G05520
B3LF52	B3LF52_ARATH	AT4G03820
B3LF87	B3LF87_ARATH	AT1G30230
B3LF90	B3LF90_ARATH	AT4G27880
B3LF91	B3LF91_ARATH	AT3G59380
B3LFA4	SYCC2_ARATH	AT5G38830
B3LFA6	B3LFA6_ARATH	AT5G08430
B3LFA7	B3LFA7_ARATH	AT5G65970
B3LFC8	B3LFC8_ARATH	AT5G24620
B3TIK7	B3TIK7_ARATH	AT1G72440
B4F7N8	B4F7N8_ARATH	AT5G18420
B4F7P5	B4F7P5_ARATH	AT2G32710
B4F7Q4	B4F7Q4_ARATH	AT5G18420
B4F7R3	B4F7R3_ARATH	AT5G64930
B4F7R9	B4F7R9_ARATH	AT1G24260
B4G294	B4G294_ARATH	AT2G40670
B5AXI8	B5AXI8_ARATH	AT1G63440
B5BPE6	B5BPE6_ARATH	AT4G25530
B5BRD8	B5BRD8_ARATH	AT1G59359,AT1G58983,AT1G58684
B5RID3	B5RID3_ARATH	AT5G05000
B5X0I6	VIP6_ARATH	AT2G06210
B5X0N6	KEA6_ARATH	AT5G11800
B5X0P0	B5X0P0_ARATH	AT5G13510
B5X0P4	B5X0P4_ARATH	AT5G58770
B5X4Z8	B5X4Z8_ARATH	AT5G54510
B5X4Z9	B5X4Z9_ARATH	AT2G16750
B5X556	B5X556_ARATH	AT3G21500
B5X570	NAC14_ARATH	AT1G33060
B5X571	B5X571_ARATH	AT1G48480
B5X581	B5X581_ARATH	AT3G54720
B5X583	B5X583_ARATH	AT3G14350
B6D435	B6D435_ARATH	AT5G52290
B6DTR3	B6DTR3_ARATH	AT4G25490
B6DVK0	B6DVK0_ARATH	AT2G24040
B6EUA5	B6EUA5_ARATH	AT1G12250
B6EUA7	B6EUA7_ARATH	AT5G48240
B6EUB3	B6EUB3_ARATH	AT5G47690
B6EUB6	B6EUB6_ARATH	AT2G38880
B6EUB9	B6EUB9_ARATH	AT4G37010
B6EUC5	B6EUC5_ARATH	AT4G20325
B6VAJ6	B6VAJ6_ARATH	AT4G24960
B7U179	ABAP1_ARATH	AT5G13060
B7U6X4	B7U6X4_ARATH	AT1G46480
B7ZWR6	OEP61_ARATH	AT5G21990
B7ZWR7	B7ZWR7_ARATH	AT1G22460
B7ZWR8	B7ZWR8_ARATH	AT2G45160
B8XCH5	QKY_ARATH	AT1G74720
B9DF91	B9DF91_ARATH	AT5G66055
B9DF96	B9DF96_ARATH	AT5G62890
B9DFB4	B9DFB4_ARATH	AT3G15030
B9DFB5	B9DFB5_ARATH	AT1G63110
B9DFB7	B9DFB7_ARATH	AT3G56130
B9DFC8	B9DFC8_ARATH	AT5G55660
B9DFD0	B9DFD0_ARATH	AT5G41700
B9DFD5	B9DFD5_ARATH	AT4G03560
B9DFE3	B9DFE3_ARATH	AT3G15980
B9DFF4	B9DFF4_ARATH	AT4G02590
B9DFF8	B9DFF8_ARATH	AT4G14960
B9DFG0	B9DFG0_ARATH	AT2G39800
B9DFG3	ISE2_ARATH	AT1G70070
B9DFG5	PTI13_ARATH	AT3G59350
B9DFH1	B9DFH1_ARATH	AT1G10060
B9DFI3	B9DFI3_ARATH	AT4G37550
B9DFI7	PMT2_ARATH	AT1G26850
B9DFJ3	B9DFJ3_ARATH	AT1G07530
B9DFJ8	B9DFJ8_ARATH	AT4G39260
B9DFM6	B9DFM6_ARATH	AT4G35450
B9DFM8	B9DFM8_ARATH	AT4G20830
B9DFN3	B9DFN3_ARATH	AT1G70100
B9DFN4	B9DFN4_ARATH	AT5G55100
B9DFQ3	B9DFQ3_ARATH	AT1G10585
B9DFQ9	B9DFQ9_ARATH	AT5G37510
B9DFR1	B9DFR1_ARATH	AT1G22300
B9DFR5	B9DFR5_ARATH	AT5G50950
B9DFR6	B9DFR6_ARATH	AT3G59760
B9DFR9	B9DFR9_ARATH	AT2G45960
B9DFS3	B9DFS3_ARATH	AT1G08970
B9DFT4	B9DFT4_ARATH	AT2G38170
B9DFT8	B9DFT8_ARATH	AT2G43010
B9DFU2	MAX1_ARATH	AT2G26170
B9DFU6	B9DFU6_ARATH	AT3G08590
B9DFZ1	B9DFZ1_ARATH	AT3G59090
B9DFZ7	B9DFZ7_ARATH	AT4G28980
B9DG02	B9DG02_ARATH	AT3G04670
B9DG10	B9DG10_ARATH	AT1G53910
B9DG15	B9DG15_ARATH	AT1G09500
B9DG17	B9DG17_ARATH	AT1G72370
B9DG18	B9DG18_ARATH	AT1G20620
B9DG21	B9DG21_ARATH	AT4G31990
B9DG24	TAF7_ARATH	AT1G55300
B9DG35	B9DG35_ARATH	AT4G14385
B9DG40	B9DG40_ARATH	AT3G15450
B9DG55	B9DG55_ARATH	AT1G25275
B9DG56	B9DG56_ARATH	AT5G60360
B9DG63	B9DG63_ARATH	AT4G28030
B9DG64	B9DG64_ARATH	AT5G63470
B9DG73	B9DG73_ARATH	AT3G11930
B9DG91	B9DG91_ARATH	AT3G13950
B9DG94	B9DG94_ARATH	AT1G52300
B9DG97	B9DG97_ARATH	AT1G24350
B9DGA0	B9DGA0_ARATH	AT3G57050
B9DGA1	B9DGA1_ARATH	AT3G59090
B9DGA4	B9DGA4_ARATH	AT3G49010
B9DGA8	B9DGA8_ARATH	AT4G31990
B9DGB1	B9DGB1_ARATH	AT2G31370
B9DGB5	B9DGB5_ARATH	AT3G05165
B9DGB6	B9DGB6_ARATH	AT2G18280
B9DGC8	B9DGC8_ARATH	AT5G49510
B9DGC9	B9DGC9_ARATH	AT3G13550
B9DGD1	B9DGD1_ARATH	AT5G35630
B9DGD5	B9DGD5_ARATH	AT4G25910
B9DGD6	ACS_ARATH	AT5G36880
B9DGE3	B9DGE3_ARATH	AT4G02570
B9DGF7	B9DGF7_ARATH	AT2G45070
B9DGF8	B9DGF8_ARATH	AT2G21590
B9DGG1	B9DGG1_ARATH	AT5G65210
B9DGG5	B9DGG5_ARATH	AT5G58700
B9DGI7	B9DGI7_ARATH	AT5G51040
B9DGI8	BZP63_ARATH	AT5G28770
B9DGJ1	B9DGJ1_ARATH	AT1G30620
B9DGK2	B9DGK2_ARATH	AT2G35830
B9DGK9	B9DGK9_ARATH	AT5G05010
B9DGM9	B9DGM9_ARATH	AT1G59750
B9DGN3	B9DGN3_ARATH	AT2G27710
B9DGP8	B9DGP8_ARATH	AT5G13450
B9DGQ1	B9DGQ1_ARATH	AT5G48230
B9DGQ5	B9DGQ5_ARATH	AT1G09060
B9DGR4	B9DGR4_ARATH	AT5G48150
B9DGR5	B9DGR5_ARATH	AT1G08550
B9DGR6	B9DGR6_ARATH	AT1G63940
B9DGR9	B9DGR9_ARATH	AT4G40030,AT5G10980,AT4G40040
B9DGS0	B9DGS0_ARATH	AT5G13490
B9DGS9	B9DGS9_ARATH	AT1G53800
B9DGT1	B9DGT1_ARATH	AT5G57940
B9DGT3	B9DGT3_ARATH	AT1G25275
B9DGT7	TBA2_ARATH	AT1G50010
B9DGT8	B9DGT8_ARATH	AT5G53760
B9DGV5	B9DGV5_ARATH	AT5G61520
B9DGV7	B9DGV7_ARATH	AT1G05410
B9DGV8	B9DGV8_ARATH	AT5G12840
B9DGY4	B9DGY4_ARATH	AT2G43640
B9DH03	B9DH03_ARATH	AT2G30990
B9DH05	B9DH05_ARATH	AT2G27110
B9DH07	B9DH07_ARATH	AT3G26020
B9DH08	B9DH08_ARATH	AT3G53570
B9DH29	B9DH29_ARATH	AT3G59060
B9DH36	B9DH36_ARATH	AT1G17890
B9DH43	B9DH43_ARATH	AT5G65220
B9DH47	B9DH47_ARATH	AT3G16230
B9DH73	B9DH73_ARATH	AT5G06530
B9DH81	B9DH81_ARATH	AT5G51780
B9DH97	B9DH97_ARATH	AT2G33120
B9DHA6	RL40A_ARATH	AT2G36170
B9DHC9	B9DHC9_ARATH	AT1G53800
B9DHD0	B9DHD0_ARATH	AT1G55730
B9DHD2	B9DHD2_ARATH	AT2G24270
B9DHD5	B9DHD5_ARATH	AT1G30690
B9DHD7	VAP22_ARATH	AT1G08820
B9DHE0	B9DHE0_ARATH	AT3G32980
B9DHF5	B9DHF5_ARATH	AT3G19860
B9DHH5	B9DHH5_ARATH	AT1G10070
B9DHH7	B9DHH7_ARATH	AT1G16240
B9DHH9	B9DHH9_ARATH	AT5G14200
B9DHI9	B9DHI9_ARATH	AT1G09640
B9DHJ9	B9DHJ9_ARATH	AT3G07010
B9DHM5	B9DHM5_ARATH	AT4G15530
B9DHP0	B9DHP0_ARATH	AT4G27090
B9DHQ0	TBA5_ARATH	AT5G19780
B9DHQ6	B9DHQ6_ARATH	AT1G79560
B9DHT4	ARIA_ARATH	AT5G19330
B9DHT9	B9DHT9_ARATH	AT4G34450
B9DHU3	B9DHU3_ARATH	AT5G59160
B9DI04	B9DI04_ARATH	AT5G59850,AT1G07770
B9DI19	B9DI19_ARATH	AT2G26650
B9DI55	B9DI55_ARATH	AT3G09840
C0LGD6	Y1570_ARATH	AT1G05700
C0LGD7	Y1684_ARATH	AT1G06840
C0LGD8	Y1755_ARATH	AT1G07550
C0LGD9	Y1756_ARATH	AT1G07560
C0LGE0	Y1765_ARATH	AT1G07650
C0LGE3	C0LGE3_ARATH	AT1G11130
C0LGE4	Y1124_ARATH	AT1G12460
C0LGE9	C0LGE9_ARATH	AT1G27190
C0LGF4	FEI1_ARATH	AT1G31420
C0LGF5	Y1341_ARATH	AT1G34110
C0LGG3	Y5182_ARATH	AT1G51820
